"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Trayveon Williams","CIN","2.9","11.9","0.1","2.8","19.4","0.1","0.0","4.1"
"Godwin Igwebuike","DET","2.3","9.1","0.1","2.0","15.3","0.1","0.0","3.5"
"Jaylen Warren","PIT","9.0","34.0","0.0","0.0","0.0","0.0","0.0","3.4"
"Jason Huntley","PHI","2.9","12.6","0.1","1.1","7.9","0.1","0.1","2.9"
"Gabe Nabers","LAC","4.4","14.1","0.1","1.1","3.0","0.1","0.0","2.8"
"Spencer Brown","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Lovett","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Gerrid Doaks","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Nate McCrary","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"John Kelly Jr.","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Taiwan Jones","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Salvon Ahmed","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Malik Davis","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Jonathan Williams","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"Reggie Bonnafon","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
